# Shyland V24.1 fight-cost survey dataset (#180) — commit ead50f5, RNG seed 180, N=10000 trials per row
encounter_id,kind,tier,members,rooms,encounter_level,player_level,is_at_level,scenario,n_trials,n_resolved,unwinnable_fraction,vitality_max,draught_heal,hp_loss_mean,hp_loss_std,hp_loss_p10,hp_loss_p90,hp_loss_frac_mean,rounds_mean,rounds_std,p_death_unhealed,draughts_per_fight,draught_cost_cp,potions_to_win,potions_to_win_flat25,hit_pct_mc
solo:cave-spider,solo,normal,cave-spider,,2,5,False,bare,10000,10000,0.0,204,41,1.708,3.045708,0.0,7.0,0.008373,1.0213,0.144383,0.0,0.041659,0.624878,0,0,0.960638
solo:cave-spider,solo,normal,cave-spider,,2,5,False,common-weapon,10000,10000,0.0,404,81,1.5633,2.654203,0.0,7.0,0.00387,1.0345,0.18251,0.0,0.0193,0.2895,0,0,0.949638
solo:cave-spider,solo,normal,cave-spider,,2,10,False,headline,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:cave-spider,solo,normal,cave-spider,,2,10,False,bare,10000,10000,0.0,268,54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:cave-spider,solo,normal,cave-spider,,2,10,False,common-weapon,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1.0
solo:chittering-king,solo,boss,chittering-king,,9,5,False,headline,10000,10000,0.0,404,81,2325.6098,807.525929,1368.0,3408.0,5.75646,89.2855,30.869017,1.0,28.711232,430.668481,25,81,0.0
solo:chittering-king,solo,boss,chittering-king,,9,5,False,bare,10000,10000,0.0,204,41,2874.7777,1002.595924,1682.0,4214.0,14.092048,89.7569,31.169652,1.0,70.116529,1051.747939,67,109,0.0
solo:chittering-king,solo,boss,chittering-king,,9,5,False,common-weapon,10000,10000,0.0,404,81,2589.4974,789.555087,1641.0,3633.0,6.409647,99.3197,30.223181,1.0,31.969104,479.536556,29,92,0.0
solo:chittering-king,solo,boss,chittering-king,,9,9,True,headline,10000,10000,0.0,454,91,134.696,53.095226,73.0,205.0,0.296687,7.7014,2.458503,0.0001,1.480176,22.202637,0,0,0.459774
solo:chittering-king,solo,boss,chittering-king,,9,9,True,bare,10000,10000,0.0,254,51,165.5974,65.316682,90.0,253.0,0.651958,7.706,2.501512,0.0989,3.247008,48.705118,0,0,0.460135
solo:chittering-king,solo,boss,chittering-king,,9,9,True,common-weapon,10000,10000,0.0,454,91,141.7182,55.104248,77.0,215.0,0.312155,7.8965,2.590094,0.0,1.557343,23.360143,0,0,0.448123
solo:chittering-king,solo,boss,chittering-king,,9,10,False,headline,10000,10000,0.0,468,94,93.8734,40.548657,46.0,148.0,0.200584,6.3049,1.86224,0.0,0.998653,14.979798,0,0,0.561056
solo:chittering-king,solo,boss,chittering-king,,9,10,False,bare,10000,10000,0.0,268,54,115.5512,49.082889,57.0,179.0,0.431161,6.3202,1.856037,0.0068,2.139837,32.097556,0,0,0.559951
solo:chittering-king,solo,boss,chittering-king,,9,10,False,common-weapon,10000,10000,0.0,468,94,99.8019,41.217774,50.0,155.0,0.213252,6.5451,1.914828,0.0,1.061722,15.925835,0,0,0.548914
solo:crowned-devourer,solo,boss,crowned-devourer,,10,5,False,headline,10000,2497,0.7503,404,81,7153.953144,2015.080944,4720.0,9879.0,17.707805,240.388867,67.602703,1.0,88.320409,1324.806138,85,275,0.0
solo:crowned-devourer,solo,boss,crowned-devourer,,10,5,False,bare,10000,2526,0.7474,204,41,8784.972288,2428.302454,5858.0,11963.0,43.06359,240.386778,66.446262,1.0,214.267617,3214.014252,211,346,0.0
solo:crowned-devourer,solo,boss,crowned-devourer,,10,5,False,common-weapon,10000,0,1.0,404,,,,,,,,,,,,,,
solo:crowned-devourer,solo,boss,crowned-devourer,,10,10,True,headline,10000,10000,0.0,468,94,182.9565,66.084649,106.0,270.0,0.390933,9.1958,2.711026,0.0007,1.946346,29.195186,0,0,0.463842
solo:crowned-devourer,solo,boss,crowned-devourer,,10,10,True,bare,10000,10000,0.0,268,54,227.4442,82.725918,131.0,338.0,0.848672,9.2736,2.775057,0.2762,4.21193,63.178944,1,2,0.459023
solo:crowned-devourer,solo,boss,crowned-devourer,,10,10,True,common-weapon,10000,10000,0.0,468,94,194.6548,68.655344,114.0,286.0,0.415929,9.577,2.819587,0.0018,2.070796,31.061936,0,0,0.452386
solo:devourers-drones,solo,elite,devourers-drones,,9,5,False,headline,10000,10000,0.0,404,81,696.3044,397.007406,268.0,1232.0,1.723526,28.629,16.264678,0.749,8.596351,128.945259,5,16,0.0
solo:devourers-drones,solo,elite,devourers-drones,,9,5,False,bare,10000,10000,0.0,204,41,853.5892,491.945801,327.0,1521.0,4.184261,28.5884,16.439373,0.9724,20.819249,312.288732,18,29,0.0
solo:devourers-drones,solo,elite,devourers-drones,,9,5,False,common-weapon,10000,10000,0.0,404,81,801.751,437.433869,320.0,1390.0,1.984532,32.9262,17.947026,0.8242,9.89816,148.472407,7,20,0.0
solo:devourers-drones,solo,elite,devourers-drones,,9,9,True,headline,10000,10000,0.0,454,91,53.9635,31.156896,20.0,94.0,0.118862,3.291,1.526866,0.0,0.593005,8.895082,0,0,0.464145
solo:devourers-drones,solo,elite,devourers-drones,,9,9,True,bare,10000,10000,0.0,254,51,66.5196,38.557173,25.0,117.0,0.261888,3.317,1.562534,0.0011,1.304306,19.564588,0,0,0.460235
solo:devourers-drones,solo,elite,devourers-drones,,9,9,True,common-weapon,10000,10000,0.0,454,91,56.7629,32.333628,21.0,98.0,0.125028,3.3991,1.607986,0.0,0.623768,9.356522,0,0,0.4455
solo:devourers-drones,solo,elite,devourers-drones,,9,10,False,headline,10000,10000,0.0,468,94,38.8584,23.797692,11.0,70.0,0.083031,2.8176,1.140934,0.0,0.413387,6.200809,0,0,0.561045
solo:devourers-drones,solo,elite,devourers-drones,,9,10,False,bare,10000,10000,0.0,268,54,48.4299,29.747744,13.0,87.0,0.180709,2.8118,1.146988,0.0,0.89685,13.45275,0,0,0.561669
solo:devourers-drones,solo,elite,devourers-drones,,9,10,False,common-weapon,10000,10000,0.0,468,94,41.2265,24.491586,12.0,73.0,0.088091,2.8815,1.187122,0.0,0.43858,6.578697,0,0,0.544404
solo:dronemother,solo,boss,dronemother,,6,5,False,headline,10000,10000,0.0,404,81,261.1998,86.266051,160.0,377.0,0.646534,12.9268,3.831245,0.0666,3.224689,48.370333,0,0,0.364019
solo:dronemother,solo,boss,dronemother,,6,5,False,bare,10000,10000,0.0,204,41,321.9001,107.30475,195.0,464.0,1.577942,12.9872,3.873324,0.8797,7.851222,117.768329,5,7,0.362095
solo:dronemother,solo,boss,dronemother,,6,5,False,common-weapon,10000,10000,0.0,404,81,279.7337,91.161162,172.0,401.0,0.69241,13.6001,4.086145,0.0969,3.453502,51.802537,0,0,0.349078
solo:dronemother,solo,boss,dronemother,,6,6,True,headline,10000,10000,0.0,418,84,176.4459,61.005566,104.0,258.0,0.422119,10.0714,2.803445,0.0014,2.100546,31.508196,0,0,0.462319
solo:dronemother,solo,boss,dronemother,,6,6,True,bare,10000,10000,0.0,218,44,218.8824,75.226463,130.0,320.0,1.004048,10.1227,2.847498,0.4642,4.9746,74.619,2,3,0.459117
solo:dronemother,solo,boss,dronemother,,6,6,True,common-weapon,10000,10000,0.0,418,84,188.8165,62.419108,115.0,272.0,0.451714,10.5014,2.911563,0.0019,2.247815,33.717232,0,0,0.451635
solo:dronemother,solo,boss,dronemother,,6,10,False,headline,10000,10000,0.0,468,94,22.6811,19.279103,0.0,49.0,0.048464,4.6199,0.51655,0.0,0.241288,3.619324,0,0,0.963268
solo:dronemother,solo,boss,dronemother,,6,10,False,bare,10000,10000,0.0,268,54,28.0505,23.686907,0.0,60.0,0.104666,4.6187,0.518566,0.0,0.519454,7.791806,0,0,0.961483
solo:dronemother,solo,boss,dronemother,,6,10,False,common-weapon,10000,10000,0.0,468,94,25.2713,20.019498,0.0,52.0,0.053999,4.6653,0.512129,0.0,0.268844,4.032654,0,0,0.949564
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,4,True,headline,10000,10000,0.0,393,79,35.6509,20.81685,14.0,62.0,0.090715,3.0293,1.306844,0.0,0.451277,6.769158,0,0,0.515036
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,4,True,bare,10000,10000,0.0,193,39,43.8759,26.020982,17.0,77.0,0.227336,3.0323,1.31562,0.0004,1.125023,16.875346,0,0,0.510965
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,4,True,common-weapon,10000,10000,0.0,393,79,37.2959,21.662589,15.0,65.0,0.094901,3.0906,1.3572,0.0,0.4721,7.0815,0,0,0.499968
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,5,False,headline,10000,10000,0.0,404,81,21.3575,15.343269,0.0,40.0,0.052865,2.4296,0.854543,0.0,0.263673,3.955093,0,0,0.663895
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,5,False,bare,10000,10000,0.0,204,41,26.5701,18.995154,0.0,50.0,0.130246,2.4441,0.856315,0.0,0.648051,9.720768,0,0,0.655661
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,5,False,common-weapon,10000,10000,0.0,404,81,22.5236,15.678311,0.0,41.0,0.055751,2.4635,0.863057,0.0,0.278069,4.171037,0,0,0.651715
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,10,False,headline,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.2358,0.424498,0.0,0.0,0.0,0,0,1.0
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,10,False,bare,10000,10000,0.0,268,54,0.0,0.0,0.0,0.0,0.0,1.2253,0.41778,0.0,0.0,0.0,0,0,1.0
solo:dronemothers-swarm,solo,normal,dronemothers-swarm,,4,10,False,common-weapon,10000,10000,0.0,468,94,0.0,0.0,0.0,0.0,0.0,1.3044,0.460153,0.0,0.0,0.0,0,0,1.0
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,5,False,headline,10000,10000,0.0,404,81,1508.6393,686.604567,731.0,2441.0,3.734256,45.5731,20.649471,0.9928,18.625177,279.377648,15,49,0.0
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,5,False,bare,10000,10000,0.0,204,41,1889.0116,866.595251,912.0,3060.0,9.259861,46.4053,21.214321,1.0,46.073454,691.101805,43,70,0.0
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,5,False,common-weapon,10000,10000,0.0,404,81,1659.2834,706.593325,853.0,2600.0,4.107137,50.1095,21.286538,0.9971,20.48498,307.274704,17,55,0.0
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,9,True,headline,10000,10000,0.0,454,91,89.7744,50.013911,33.0,156.0,0.197741,4.0208,1.836292,0.0,0.986532,14.797978,0,0,0.459212
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,9,True,bare,10000,10000,0.0,254,51,109.5573,61.346215,40.0,191.0,0.431328,3.994,1.853905,0.0282,2.148182,32.222735,0,0,0.462944
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,9,True,common-weapon,10000,10000,0.0,454,91,94.1237,51.36512,35.0,161.0,0.207321,4.1343,1.885488,0.0,1.034326,15.514896,0,0,0.449967
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,10,False,headline,10000,10000,0.0,468,94,63.7433,37.432815,24.0,111.0,0.136204,3.3349,1.375406,0.0,0.67812,10.171803,0,0,0.559027
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,10,False,bare,10000,10000,0.0,268,54,77.4494,45.707763,30.0,138.0,0.28899,3.326,1.347414,0.0022,1.434248,21.513722,0,0,0.561004
solo:elder-cave-beetle,solo,elite,elder-cave-beetle,,9,10,False,common-weapon,10000,10000,0.0,468,94,65.696,37.857131,26.0,116.0,0.140376,3.3897,1.394143,0.0,0.698894,10.483404,0,0,0.550314
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,5,False,headline,10000,10000,0.0,404,81,560.0038,289.834178,235.0,951.0,1.386148,18.5632,9.552487,0.6619,6.913627,103.704407,4,11,0.059322
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,5,False,bare,10000,10000,0.0,204,41,685.8946,356.478511,283.0,1172.0,3.362228,18.5032,9.568207,0.9608,16.729137,250.937049,13,22,0.060238
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,5,False,common-weapon,10000,10000,0.0,404,81,609.0451,293.023501,274.0,1001.0,1.507537,20.1544,9.659594,0.736,7.519075,112.78613,4,13,0.050178
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,8,True,headline,10000,10000,0.0,443,89,96.6907,53.9925,39.0,167.0,0.218263,4.3925,2.118784,0.0004,1.086412,16.296185,0,0,0.4107
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,8,True,bare,10000,10000,0.0,243,49,118.5239,65.455683,48.0,208.0,0.487753,4.3897,2.10196,0.0502,2.418855,36.282827,0,0,0.410848
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,8,True,common-weapon,10000,10000,0.0,443,89,100.0773,54.13119,42.0,173.0,0.225908,4.4385,2.119532,0.0001,1.124464,16.866961,0,0,0.405542
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,10,False,headline,10000,10000,0.0,468,94,41.3109,27.311343,0.0,78.0,0.088271,2.8685,1.024894,0.0,0.439478,6.592165,0,0,0.658916
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,10,False,bare,10000,10000,0.0,268,54,50.8235,33.656232,0.0,96.0,0.18964,2.8444,0.997692,0.0,0.941176,14.117639,0,0,0.662776
solo:elder-cave-centipede,solo,elite,elder-cave-centipede,,8,10,False,common-weapon,10000,10000,0.0,468,94,43.7102,27.937999,11.0,81.0,0.093398,2.9056,1.043786,0.0,0.465002,6.975032,0,0,0.648644
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,5,False,headline,10000,10000,0.0,404,81,192.5186,105.41039,78.0,330.0,0.476531,8.0649,4.330022,0.0446,2.376773,35.651593,0,0,0.209786
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,5,False,bare,10000,10000,0.0,204,41,233.2252,126.539863,94.0,403.0,1.143261,7.9427,4.20847,0.5178,5.68842,85.326293,2,4,0.212094
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,5,False,common-weapon,10000,10000,0.0,404,81,206.0455,106.854142,87.0,349.0,0.510014,8.5532,4.394539,0.0542,2.543772,38.156574,0,0,0.200732
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,7,True,headline,10000,10000,0.0,429,86,69.6695,38.751218,26.0,121.0,0.1624,3.9865,1.836932,0.0,0.81011,12.151657,0,0,0.457895
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,7,True,bare,10000,10000,0.0,229,46,85.8809,48.263089,31.0,150.0,0.375026,3.9743,1.829874,0.0121,1.866976,28.004641,0,0,0.46144
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,7,True,common-weapon,10000,10000,0.0,429,86,72.5722,39.492541,27.0,125.0,0.169166,4.0631,1.872623,0.0,0.843863,12.657942,0,0,0.450001
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,10,False,headline,10000,10000,0.0,468,94,19.7451,17.264372,0.0,45.0,0.04219,2.2511,0.571707,0.0,0.210054,3.150814,0,0,0.812181
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,10,False,bare,10000,10000,0.0,268,54,24.2166,21.036475,0.0,55.0,0.09036,2.2536,0.572614,0.0,0.448456,6.726833,0,0,0.812123
solo:elder-cave-spider,solo,elite,elder-cave-spider,,7,10,False,common-weapon,10000,10000,0.0,468,94,21.5736,18.017502,0.0,47.0,0.046097,2.3352,0.617609,0.0,0.229506,3.442596,0,0,0.793337
solo:giant-cave-beetle,solo,normal,giant-cave-beetle,,5,5,True,headline,10000,10000,0.0,404,81,37.5984,22.87957,11.0,67.0,0.093065,3.1707,1.318697,0.0,0.464178,6.962667,0,0,0.561012
solo:giant-cave-beetle,solo,normal,giant-cave-beetle,,5,5,True,bare,10000,10000,0.0,204,41,45.8818,27.955587,13.0,82.0,0.224911,3.162,1.335424,0.0003,1.119068,16.786024,0,0,0.561322
solo:giant-cave-beetle,solo,normal,giant-cave-beetle,,5,5,True,common-weapon,10000,10000,0.0,404,81,40.0876,23.728808,15.0,71.0,0.099227,3.276,1.393422,0.0,0.494909,7.42363,0,0,0.550702
solo:giant-cave-beetle,solo,normal,giant-cave-beetle,,5,10,False,headline,10000,10000,0.0,468,94,0.9949,2.936882,0.0,7.0,0.002126,1.8157,0.387729,0.0,0.010584,0.158761,0,0,1.0
solo:giant-cave-beetle,solo,normal,giant-cave-beetle,,5,10,False,bare,10000,10000,0.0,268,54,1.2248,3.596396,0.0,9.0,0.00457,1.8209,0.383436,0.0,0.022681,0.340222,0,0,1.0
solo:giant-cave-beetle,solo,normal,giant-cave-beetle,,5,10,False,common-weapon,10000,10000,0.0,468,94,1.2306,3.294393,0.0,8.0,0.002629,1.828,0.37738,0.0,0.013091,0.196372,0,0,1.0
solo:giant-cave-centipede,solo,normal,giant-cave-centipede,,5,5,True,headline,10000,10000,0.0,404,81,32.0819,19.768257,9.0,58.0,0.079411,2.824,1.165085,0.0,0.396073,5.941093,0,0,0.557507
solo:giant-cave-centipede,solo,normal,giant-cave-centipede,,5,5,True,bare,10000,10000,0.0,204,41,39.0576,24.217735,11.0,70.0,0.191459,2.8067,1.135313,0.0,0.952624,14.289366,0,0,0.563224
solo:giant-cave-centipede,solo,normal,giant-cave-centipede,,5,5,True,common-weapon,10000,10000,0.0,404,81,33.7215,20.135365,10.0,59.0,0.083469,2.896,1.195736,0.0,0.416315,6.244722,0,0,0.548584
solo:giant-cave-centipede,solo,normal,giant-cave-centipede,,5,10,False,headline,10000,10000,0.0,468,94,0.9262,2.739955,0.0,6.0,0.001979,1.6479,0.477625,0.0,0.009853,0.147798,0,0,1.0
